player_name,draft_round,draft_number,pts,ast_pct,reb_pct,ts_pct,usg_pct,champ,all_star
Darrell Arthur,1,27,6.055555556,0.07744444444,0.2134444444,0.4996666667,0.1862222222,0,0
Darren Collison,1,21,11.6,0.2434545455,0.09836363636,0.542,0.1850909091,0,0
Darrick Martin,0,0,4.809090909,0.2457272727,0.06536363636,0.4215454545,0.2032727273,0,0
Darvin Ham,0,0,2.8375,0.064375,0.215,0.521125,0.12175,1,0
David Lee,1,30,13.25833333,0.1209166667,0.3389166667,0.5823333333,0.1989166667,1,2
David Nwaba,0,0,6.65,0.07,0.1796666667,0.577,0.1443333333,0,0
David Robinson,1,1,15.42857143,0.1004285714,0.3451428571,0.5605714286,0.2454285714,2,10
David Wesley,0,0,13.04545455,0.2143636364,0.08936363636,0.5141818182,0.1928181818,0,0
David West,1,18,13.26666667,0.141,0.2651333333,0.5425333333,0.2210666667,2,2
David Wingate,2,44,2.64,0.162,0.0862,0.5104,0.137,0,0
Davis Bertans,2,42,7.928571429,0.07257142857,0.1332857143,0.6037142857,0.1584285714,0,0
De'Aaron Fox,1,5,20.56666667,0.2931666667,0.1116666667,0.5488333333,0.2718333333,0,1
De'Anthony Melton,2,46,8.52,0.1744,0.1574,0.526,0.1776,0,0
Dean Garrett,2,38,4.4,0.04266666667,0.2991666667,0.4848333333,0.1246666667,0,0
Deandre Ayton,1,1,16.82,0.0824,0.3408,0.6204,0.2136,0,0
DeAndre Jordan,2,35,8.526666667,0.0566,0.3968666667,0.6478,0.1385333333,1,1
DeAndre Liggins,2,53,1.92,0.0712,0.2258,0.5932,0.1372,0,0
DeAndre' Bembry,1,21,5.483333333,0.1355,0.1605,0.5228333333,0.1478333333,0,0
Dee Brown,1,19,7.116666667,0.1578333333,0.1021666667,0.4551666667,0.1726666667,0,0
Dejounte Murray,1,29,13.28333333,0.2571666667,0.2016666667,0.5156666667,0.2311666667,0,1
DeJuan Blair,2,37,5.914285714,0.07228571429,0.3407142857,0.5171428571,0.1927142857,0,0
Dell Curry,1,15,9.05,0.122,0.114,0.5446666667,0.2185,0,0
Delon Wright,1,20,6.875,0.211,0.15125,0.555625,0.157875,0,0
Delonte West,1,24,9.0625,0.21675,0.123,0.534625,0.1805,0,0
DeMar DeRozan,1,9,21.03571429,0.1910714286,0.1395714286,0.5519285714,0.2696428571,0,6
DeMarcus Cousins,1,5,19.03636364,0.1795454545,0.3718181818,0.5414545455,0.3025454545,0,4
DeMarre Carroll,1,27,7.818181818,0.08227272727,0.1910909091,0.5123636364,0.1596363636,0,0
Dennis Schroder,1,17,13.79,0.2831,0.1114,0.5226,0.2471,0,0
Dennis Smith Jr.,1,9,9.233333333,0.2896666667,0.1225,0.4691666667,0.214,0,0
Denzel Valentine,1,14,6.3,0.1276,0.1792,0.5064,0.179,0,0
Derek Anderson,1,13,11.22727273,0.2028181818,0.1326363636,0.5289090909,0.2014545455,1,0
Derek Fisher,1,24,8.305555556,0.1766111111,0.09238888889,0.5097222222,0.1616111111,5,0
Derek Strong,2,47,6.64,0.045,0.2948,0.4904,0.1796,0,0
DerMarr Johnson,1,6,5.571428571,0.08028571429,0.1332857143,0.5174285714,0.1971428571,0,0
Deron Williams,1,3,16.35833333,0.3786666667,0.1069166667,0.5485833333,0.2355,0,3
Derrick Coleman,1,1,11.98888889,0.1025555556,0.3073333333,0.482,0.2161111111,0,0
Derrick Favors,1,3,10.33333333,0.07133333333,0.3179166667,0.5685833333,0.1864166667,0,0
Derrick Jones Jr.,0,0,5.9,0.04957142857,0.1658571429,0.5812857143,0.1294285714,0,0
Derrick McKey,1,9,4.716666667,0.1121666667,0.2075,0.4901666667,0.1298333333,0,0
Derrick Rose,1,1,16.37142857,0.2747142857,0.1067142857,0.5179285714,0.2675,0,3
Derrick White,1,29,10.9,0.1828333333,0.1258333333,0.5828333333,0.1833333333,0,0
Derrick Williams,1,2,7.642857143,0.04942857143,0.199,0.4878571429,0.1965714286,0,0
DeSagana Diop,1,8,1.691666667,0.06233333333,0.2845,0.4074166667,0.1021666667,0,0
DeShawn Stevenson,1,23,6.638461538,0.1132307692,0.1168461538,0.4654615385,0.1673076923,1,0
Desmond Mason,1,17,10.85,0.0817,0.1802,0.4996,0.1882,0,0
Detlef Schrempf,1,8,11.8,0.1898,0.2326,0.556,0.19,0,3
Devean George,1,23,5.472727273,0.06763636364,0.1930909091,0.4810909091,0.1625454545,3,0
Devin Booker,1,13,24.275,0.229125,0.118375,0.574125,0.296625,0,3
Devin Brown,0,0,6.775,0.122625,0.1735,0.489375,0.199125,1,0
Devin Harris,1,5,10.72666667,0.2472666667,0.1038,0.5496,0.2076,0,1
Devonte' Graham,2,34,11.4,0.26,0.09,0.5228,0.1952,0,0
Dewayne Dedmon,0,0,6.15,0.0585,0.3562,0.5937,0.1587,0,0
Dickey Simpkins,1,21,3.7,0.1828,0.2028,0.3858,0.122,3,0
Dikembe Mutombo,1,4,7.415384615,0.03461538462,0.3778461538,0.5636153846,0.1330769231,0,8
Dillon Brooks,2,45,14.1,0.1085,0.1051666667,0.5106666667,0.2318333333,0,0
Dion Glover,1,20,7.266666667,0.1223333333,0.1588333333,0.4818333333,0.2078333333,0,0
Dion Waiters,1,4,13.175,0.168,0.10325,0.499625,0.237125,1,0
Dirk Nowitzki,1,9,20.10952381,0.118047619,0.2454285714,0.568,0.2602380952,1,14
DJ Mbenga,0,0,1.671428571,0.04542857143,0.2264285714,0.4867142857,0.154,2,0
DJ White,1,29,4.783333333,0.05666666667,0.2743333333,0.467,0.1621666667,0,0
Domantas Sabonis,1,11,15.48571429,0.202,0.3267142857,0.594,0.2142857143,0,3
Dominic McGuire,2,47,2.55,0.1016666667,0.26,0.4283333333,0.1106666667,0,0
Don MacLean,1,19,5.72,0.0728,0.1964,0.4278,0.2064,0,0
Don Reid,2,58,3.257142857,0.04128571429,0.2204285714,0.496,0.1414285714,0,0
